数据库：分省年度数据
指标：地方财政一般预算收入(亿元)
时间：last50
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年,1972年,1971年,1970年,1969年,1968年
北京市,5430.79,5081.26,4723.86,4027.16,3661.11,3314.93,3006.28,2353.93,2026.81,1837.32,1492.64,1117.15,919.21,744.49,592.54,533.99,454.17,345.00,279.09,229.45,209.91,150.90,115.26,99.85,84.10,80.25,77.02,74.01,71.05,68.11,63.62,60.34,52.44,45.62,39.84,47.25,49.12,51.29,47.75,50.46,42.77,37.79,39.35,36.12,30.87,31.52,26.85,21.62,15.64,9.89
天津市,2310.11,2723.50,2667.11,2390.35,2079.07,1760.02,1455.13,1068.81,821.99,675.62,540.44,417.05,331.85,246.18,204.53,209.70,163.64,133.61,112.81,101.40,89.91,79.04,61.90,50.15,74.96,63.05,58.09,44.88,46.49,44.81,55.87,54.50,48.21,40.46,38.74,38.71,40.20,40.94,37.64,39.25,33.27,33.30,39.17,36.98,34.67,31.22,32.35,28.02,19.52,12.75
河北省,3233.30,2849.87,2649.18,2446.62,2295.62,2084.28,1737.77,1331.85,1067.12,947.59,789.12,620.53,515.70,407.83,335.83,302.31,283.50,248.76,223.28,206.76,176.07,151.78,119.95,95.22,144.21,101.17,90.66,81.15,76.12,64.78,57.62,51.17,45.15,39.11,36.39,31.78,34.10,35.02,35.24,38.49,28.39,26.93,30.37,26.57,25.83,24.39,23.14,20.55,14.93,12.06
山西省,1866.79,1557.00,1642.35,1820.64,1701.62,1516.38,1213.43,969.67,805.83,748.00,597.89,583.38,368.34,256.36,186.05,150.82,132.76,114.48,109.18,104.19,92.81,84.17,72.21,53.82,72.42,57.98,55.59,51.75,48.31,39.04,33.61,28.64,24.99,27.18,24.15,20.27,19.70,20.96,20.29,19.64,13.23,9.74,12.39,10.93,14.73,13.71,12.68,9.21,5.08,3.88
内蒙古自治区,1703.39,2016.43,1964.48,1843.67,1720.98,1552.75,1356.67,1069.98,850.86,650.68,492.36,343.38,277.46,196.76,138.72,112.85,99.43,95.03,86.57,77.67,73.18,57.26,43.70,36.30,56.12,39.08,39.40,32.98,28.67,24.13,19.43,16.02,13.18,8.46,6.99,5.18,4.16,4.13,4.56,6.91,2.93,2.66,2.74,2.69,3.41,3.13,3.65,4.41,2.77,3.89
辽宁省,2390.20,2200.49,2127.39,3192.78,3343.81,3105.38,2643.15,2004.84,1591.22,1356.08,1082.69,817.67,675.28,529.64,447.05,399.69,370.44,295.63,279.64,264.62,228.20,211.70,184.40,153.70,213.70,151.60,161.50,129.30,133.20,115.90,108.00,98.90,85.20,77.10,64.80,75.70,77.70,86.90,87.30,92.60,75.40,77.00,76.90,77.70,80.50,78.00,70.90,37.70,30.30,14.00
吉林省,1210.82,1263.78,1229.35,1203.38,1156.96,1041.25,850.10,602.41,487.09,422.80,320.69,245.20,207.15,166.28,154.00,131.49,121.10,103.83,101.28,93.64,82.85,76.40,63.28,51.27,79.82,56.99,62.46,50.68,49.40,43.32,37.52,29.52,21.67,15.22,14.12,11.97,10.72,14.39,12.65,16.41,12.27,12.34,12.71,12.20,13.35,14.42,13.64,10.31,7.17,3.54
黑龙江省,1243.21,1148.41,1165.88,1301.31,1277.40,1163.17,997.55,755.58,641.66,578.28,440.47,386.84,318.21,289.42,248.86,231.89,213.64,185.34,170.13,157.27,150.56,126.88,101.31,84.66,108.11,84.55,94.74,76.58,72.32,62.58,53.76,47.36,37.42,26.74,21.56,17.31,15.64,17.06,54.07,63.25,52.49,51.04,50.56,44.26,37.63,37.48,40.31,14.41,12.38,10.87
上海市,6642.26,6406.13,5519.50,4585.55,4109.51,3743.71,3429.83,2873.58,2540.30,2358.75,2074.48,1576.07,1417.40,1106.19,886.23,719.79,609.47,485.38,431.85,380.70,352.33,288.49,227.30,175.33,242.34,185.56,175.53,170.03,166.88,161.62,168.97,179.46,184.23,163.96,156.39,167.99,174.35,174.73,172.69,169.22,147.69,133.23,136.18,132.75,129.58,121.15,114.13,99.90,84.99,62.43
江苏省,8171.53,8121.23,8028.59,7233.14,6568.46,5860.69,5148.91,4079.86,3228.78,2731.41,2237.73,1656.68,1322.68,980.49,798.11,643.70,572.15,448.31,343.36,296.58,273.20,223.17,172.64,136.62,221.30,152.31,143.29,136.20,126.39,117.96,107.17,98.73,89.00,76.28,73.63,66.61,63.04,62.45,59.28,61.09,51.65,44.02,43.41,39.51,42.22,37.84,34.12,28.66,21.75,16.20
浙江省,5803.38,5301.98,4809.94,4122.02,3796.92,3441.23,3150.80,2608.47,2142.51,1933.39,1649.50,1298.20,1066.60,805.95,706.56,566.85,500.69,342.77,245.47,198.10,157.33,139.63,116.82,94.63,166.64,118.36,108.94,101.59,98.21,85.55,76.36,68.61,58.25,46.67,41.79,36.64,34.34,31.13,25.87,27.45,19.64,13.72,13.37,15.43,20.81,17.90,15.94,15.42,12.48,9.44
